date,open,high,low,close,volume,ma50,ma200
2025-12-30 14:25:00,9.96,9.97,9.96,9.96,188700,,
2025-12-30 14:30:00,9.96,9.97,9.96,9.96,139500,,
2025-12-30 14:35:00,9.96,9.97,9.96,9.96,134600,,
2025-12-30 14:40:00,9.96,9.97,9.96,9.96,91400,,
2025-12-30 14:45:00,9.96,9.97,9.96,9.96,304800,,
2025-12-30 14:50:00,9.96,9.97,9.96,9.96,192800,,
2025-12-30 14:55:00,9.97,9.98,9.96,9.97,400200,,
2025-12-30 15:00:00,9.97,9.98,9.96,9.96,178700,,
2025-12-31 09:35:00,10.0,10.03,9.99,10.03,881100,,
2025-12-31 09:40:00,10.03,10.08,10.02,10.08,1069000,,
2025-12-31 09:45:00,10.07,10.14,10.07,10.11,1727500,,
2025-12-31 09:50:00,10.11,10.11,10.09,10.09,550600,,
2025-12-31 09:55:00,10.09,10.12,10.09,10.12,338700,,
2025-12-31 10:00:00,10.11,10.12,10.11,10.11,268200,,
2025-12-31 10:05:00,10.11,10.12,10.09,10.1,277100,,
2025-12-31 10:10:00,10.09,10.12,10.09,10.11,363700,,
2025-12-31 10:15:00,10.11,10.12,10.1,10.11,211300,,
2025-12-31 10:20:00,10.1,10.12,10.1,10.11,212700,,
2025-12-31 10:25:00,10.11,10.12,10.09,10.1,133900,,
2025-12-31 10:30:00,10.09,10.1,10.08,10.08,234700,,
2025-12-31 10:35:00,10.08,10.1,10.08,10.1,247200,,
2025-12-31 10:40:00,10.09,10.1,10.07,10.07,344900,,
2025-12-31 10:45:00,10.07,10.08,10.06,10.08,162100,,
2025-12-31 10:50:00,10.08,10.08,10.05,10.07,202800,,
2025-12-31 10:55:00,10.06,10.07,10.05,10.07,147900,,
2025-12-31 11:00:00,10.07,10.08,10.04,10.07,416100,,
2025-12-31 11:05:00,10.07,10.09,10.07,10.09,74500,,
2025-12-31 11:10:00,10.09,10.09,10.07,10.09,126900,,
2025-12-31 11:15:00,10.09,10.09,10.08,10.09,125600,,
2025-12-31 11:20:00,10.09,10.09,10.07,10.08,123400,,
2025-12-31 11:25:00,10.07,10.09,10.07,10.08,101800,,
2025-12-31 11:30:00,10.08,10.08,10.07,10.08,63300,,
2025-12-31 13:05:00,10.07,10.07,10.04,10.06,422400,,
2025-12-31 13:10:00,10.06,10.07,10.04,10.06,66600,,
2025-12-31 13:15:00,10.06,10.07,10.04,10.06,84900,,
2025-12-31 13:20:00,10.05,10.07,10.04,10.05,100100,,
2025-12-31 13:25:00,10.07,10.07,10.05,10.07,63300,,
2025-12-31 13:30:00,10.05,10.07,10.04,10.06,156200,,
2025-12-31 13:35:00,10.06,10.06,10.04,10.05,74500,,
2025-12-31 13:40:00,10.05,10.06,10.04,10.05,76000,,
2025-12-31 13:45:00,10.04,10.05,10.03,10.05,138700,,
2025-12-31 13:50:00,10.03,10.05,10.03,10.05,63500,,
2025-12-31 13:55:00,10.04,10.05,10.03,10.04,87800,,
2025-12-31 14:00:00,10.04,10.04,10.03,10.04,95500,,
2025-12-31 14:05:00,10.03,10.05,10.03,10.05,88900,,
2025-12-31 14:10:00,10.05,10.05,10.04,10.05,124400,,
2025-12-31 14:15:00,10.04,10.06,10.04,10.05,114400,,
2025-12-31 14:20:00,10.05,10.05,10.04,10.05,100400,,
2025-12-31 14:25:00,10.04,10.04,10.03,10.03,91700,,
2025-12-31 14:30:00,10.03,10.04,10.02,10.03,181300,10.054200000000002,
2025-12-31 14:35:00,10.02,10.04,10.02,10.03,142800,10.0556,
2025-12-31 14:40:00,10.03,10.04,10.02,10.03,178200,10.056999999999999,
2025-12-31 14:45:00,10.03,10.04,10.02,10.03,153700,10.0584,
2025-12-31 14:50:00,10.03,10.04,10.03,10.03,236100,10.059800000000001,
2025-12-31 14:55:00,10.03,10.05,10.03,10.04,267900,10.061399999999999,
2025-12-31 15:00:00,10.04,10.05,10.04,10.04,159100,10.063,
2026-01-05 09:35:00,10.05,10.07,10.02,10.03,657600,10.0642,
2026-01-05 09:40:00,10.02,10.04,10.02,10.04,415100,10.065800000000001,
2026-01-05 09:45:00,10.04,10.05,10.02,10.04,333600,10.065999999999999,
2026-01-05 09:50:00,10.04,10.06,10.03,10.06,325700,10.0656,
2026-01-05 09:55:00,10.06,10.08,10.05,10.06,468300,10.064599999999999,
2026-01-05 10:00:00,10.06,10.07,10.03,10.04,480200,10.063600000000001,
2026-01-05 10:05:00,10.04,10.06,10.03,10.06,260700,10.0624,
2026-01-05 10:10:00,10.06,10.06,10.04,10.05,125300,10.0612,
2026-01-05 10:15:00,10.05,10.05,10.04,10.05,159100,10.0602,
2026-01-05 10:20:00,10.04,10.06,10.02,10.04,709400,10.0588,
2026-01-05 10:25:00,10.04,10.05,10.04,10.04,100300,10.0574,
2026-01-05 10:30:00,10.05,10.06,10.04,10.05,248500,10.0562,
2026-01-05 10:35:00,10.06,10.07,10.05,10.06,271060,10.0554,
2026-01-05 10:40:00,10.06,10.08,10.04,10.06,575400,10.055,
2026-01-05 10:45:00,10.06,10.08,10.06,10.08,67400,10.0546,
2026-01-05 10:50:00,10.08,10.08,10.07,10.07,196700,10.0546,
2026-01-05 10:55:00,10.07,10.08,10.07,10.08,182300,10.0546,
2026-01-05 11:00:00,10.08,10.08,10.07,10.07,213800,10.054599999999999,
2026-01-05 11:05:00,10.08,10.08,10.07,10.08,242200,10.0548,
2026-01-05 11:10:00,10.08,10.09,10.07,10.08,186500,10.055,
2026-01-05 11:15:00,10.08,10.09,10.07,10.08,184900,10.0548,
2026-01-05 11:20:00,10.08,10.09,10.07,10.07,414500,10.0544,
2026-01-05 11:25:00,10.07,10.08,10.06,10.07,69700,10.054,
2026-01-05 11:30:00,10.08,10.08,10.07,10.07,59900,10.0538,
2026-01-05 13:05:00,10.08,10.09,10.06,10.07,316200,10.0536,
2026-01-05 13:10:00,10.07,10.09,10.07,10.08,274200,10.0536,
2026-01-05 13:15:00,10.08,10.09,10.07,10.08,103200,10.054,
2026-01-05 13:20:00,10.08,10.08,10.07,10.08,122700,10.054400000000001,
2026-01-05 13:25:00,10.08,10.09,10.07,10.07,155700,10.0546,
2026-01-05 13:30:00,10.08,10.09,10.07,10.09,171700,10.055399999999999,
2026-01-05 13:35:00,10.09,10.09,10.08,10.09,164400,10.0558,
2026-01-05 13:40:00,10.09,10.09,10.08,10.09,79300,10.0564,
2026-01-05 13:45:00,10.09,10.1,10.08,10.1,201200,10.0574,
2026-01-05 13:50:00,10.1,10.1,10.08,10.1,189700,10.0584,
2026-01-05 13:55:00,10.1,10.1,10.09,10.09,291600,10.0592,
2026-01-05 14:00:00,10.09,10.1,10.09,10.09,182500,10.06,
2026-01-05 14:05:00,10.09,10.1,10.09,10.1,156400,10.0612,
2026-01-05 14:10:00,10.1,10.1,10.09,10.09,366500,10.0622,
2026-01-05 14:15:00,10.09,10.11,10.09,10.11,188000,10.0634,
2026-01-05 14:20:00,10.11,10.11,10.1,10.1,198700,10.0644,
2026-01-05 14:25:00,10.11,10.12,10.1,10.11,370300,10.0656,
2026-01-05 14:30:00,10.11,10.12,10.1,10.11,165200,10.066799999999999,
2026-01-05 14:35:00,10.11,10.11,10.1,10.11,130500,10.0684,
2026-01-05 14:40:00,10.11,10.11,10.1,10.11,185600,10.069999999999999,
2026-01-05 14:45:00,10.1,10.11,10.08,10.08,421500,10.071,
2026-01-05 14:50:00,10.08,10.09,10.07,10.08,401900,10.072000000000001,
2026-01-05 14:55:00,10.08,10.09,10.07,10.07,389100,10.072799999999999,
2026-01-05 15:00:00,10.08,10.08,10.06,10.07,355000,10.0736,
2026-01-06 09:35:00,10.07,10.1,10.05,10.06,606000,10.074,
