date,open,high,low,close,volume,ma50,ma200
2025-12-30 10:55:00,10.0,10.01,9.99,10.0,198800,,
2025-12-30 11:00:00,10.01,10.01,10.0,10.01,98300,,
2025-12-30 11:05:00,10.0,10.01,10.0,10.01,84600,,
2025-12-30 11:10:00,10.0,10.01,9.99,9.99,135400,,
2025-12-30 11:15:00,10.0,10.0,9.99,9.99,52100,,
2025-12-30 11:20:00,9.99,10.0,9.99,9.99,209900,,
2025-12-30 11:25:00,9.99,10.0,9.99,10.0,92100,,
2025-12-30 11:30:00,9.99,10.0,9.99,10.0,74300,,
2025-12-30 13:05:00,9.99,10.0,9.99,10.0,144900,,
2025-12-30 13:10:00,9.99,10.0,9.99,9.99,175200,,
2025-12-30 13:15:00,9.99,10.0,9.99,9.99,128600,,
2025-12-30 13:20:00,10.0,10.0,9.97,9.98,388200,,
2025-12-30 13:25:00,9.98,9.98,9.95,9.96,954400,,
2025-12-30 13:30:00,9.96,9.99,9.95,9.98,781900,,
2025-12-30 13:35:00,9.98,9.99,9.97,9.97,137900,,
2025-12-30 13:40:00,9.98,9.98,9.97,9.98,105000,,
2025-12-30 13:45:00,9.97,9.98,9.97,9.97,194300,,
2025-12-30 13:50:00,9.97,9.98,9.97,9.98,117500,,
2025-12-30 13:55:00,9.97,9.98,9.97,9.98,109700,,
2025-12-30 14:00:00,9.98,9.98,9.97,9.97,126600,,
2025-12-30 14:05:00,9.98,9.98,9.96,9.96,289300,,
2025-12-30 14:10:00,9.97,9.97,9.96,9.97,137900,,
2025-12-30 14:15:00,9.96,9.97,9.96,9.96,170500,,
2025-12-30 14:20:00,9.96,9.97,9.96,9.96,175800,,
2025-12-30 14:25:00,9.96,9.97,9.96,9.96,188700,,
2025-12-30 14:30:00,9.96,9.97,9.96,9.96,139500,,
2025-12-30 14:35:00,9.96,9.97,9.96,9.96,134600,,
2025-12-30 14:40:00,9.96,9.97,9.96,9.96,91400,,
2025-12-30 14:45:00,9.96,9.97,9.96,9.96,304800,,
2025-12-30 14:50:00,9.96,9.97,9.96,9.96,192800,,
2025-12-30 14:55:00,9.97,9.98,9.96,9.97,400200,,
2025-12-30 15:00:00,9.97,9.98,9.96,9.96,178700,,
2025-12-31 09:35:00,10.0,10.03,9.99,10.03,881100,,
2025-12-31 09:40:00,10.03,10.08,10.02,10.08,1069000,,
2025-12-31 09:45:00,10.07,10.14,10.07,10.11,1727500,,
2025-12-31 09:50:00,10.11,10.11,10.09,10.09,550600,,
2025-12-31 09:55:00,10.09,10.12,10.09,10.12,338700,,
2025-12-31 10:00:00,10.11,10.12,10.11,10.11,268200,,
2025-12-31 10:05:00,10.11,10.12,10.09,10.1,277100,,
2025-12-31 10:10:00,10.09,10.12,10.09,10.11,363700,,
2025-12-31 10:15:00,10.11,10.12,10.1,10.11,211300,,
2025-12-31 10:20:00,10.1,10.12,10.1,10.11,212700,,
2025-12-31 10:25:00,10.11,10.12,10.09,10.1,133900,,
2025-12-31 10:30:00,10.09,10.1,10.08,10.08,234700,,
2025-12-31 10:35:00,10.08,10.1,10.08,10.1,247200,,
2025-12-31 10:40:00,10.09,10.1,10.07,10.07,344900,,
2025-12-31 10:45:00,10.07,10.08,10.06,10.08,162100,,
2025-12-31 10:50:00,10.08,10.08,10.05,10.07,202800,,
2025-12-31 10:55:00,10.06,10.07,10.05,10.07,147900,,
2025-12-31 11:00:00,10.07,10.08,10.04,10.07,416100,10.0178,
2025-12-31 11:05:00,10.07,10.09,10.07,10.09,74500,10.0196,
2025-12-31 11:10:00,10.09,10.09,10.07,10.09,126900,10.0212,
2025-12-31 11:15:00,10.09,10.09,10.08,10.09,125600,10.0228,
2025-12-31 11:20:00,10.09,10.09,10.07,10.08,123400,10.0246,
2025-12-31 11:25:00,10.07,10.09,10.07,10.08,101800,10.0264,
2025-12-31 11:30:00,10.08,10.08,10.07,10.08,63300,10.0282,
2025-12-31 13:05:00,10.07,10.07,10.04,10.06,422400,10.0294,
2025-12-31 13:10:00,10.06,10.07,10.04,10.06,66600,10.0306,
2025-12-31 13:15:00,10.06,10.07,10.04,10.06,84900,10.0318,
2025-12-31 13:20:00,10.05,10.07,10.04,10.05,100100,10.033,
2025-12-31 13:25:00,10.07,10.07,10.05,10.07,63300,10.0346,
2025-12-31 13:30:00,10.05,10.07,10.04,10.06,156200,10.036200000000001,
2025-12-31 13:35:00,10.06,10.06,10.04,10.05,74500,10.038,
2025-12-31 13:40:00,10.05,10.06,10.04,10.05,76000,10.0394,
2025-12-31 13:45:00,10.04,10.05,10.03,10.05,138700,10.041,
2025-12-31 13:50:00,10.03,10.05,10.03,10.05,63500,10.0424,
2025-12-31 13:55:00,10.04,10.05,10.03,10.04,87800,10.0438,
2025-12-31 14:00:00,10.04,10.04,10.03,10.04,95500,10.045,
2025-12-31 14:05:00,10.03,10.05,10.03,10.05,88900,10.0464,
2025-12-31 14:10:00,10.05,10.05,10.04,10.05,124400,10.048,
2025-12-31 14:15:00,10.04,10.06,10.04,10.05,114400,10.0498,
2025-12-31 14:20:00,10.05,10.05,10.04,10.05,100400,10.0514,
